sample,feature,original_abundance,counterfactual_abundance,healthy_median_abundance,abs_dist_original_to_healthy,abs_dist_cf_to_healthy,moved_closer_to_healthy
sample_0,Victivallis vadensis [1000],-1.3925617516865152,-1.3925618,-1.3925617516865152,0.0,4.831348476841413e-08,False
sample_0,Akkermansia muciniphila [1008],2.1052989493952117,-0.5483761,0.2168945729509855,1.8884043764442262,0.7652706729509855,True
sample_0,Alistipes shahii [1052],-0.7374182535920689,1.8003366,0.6241806744250588,1.3615989280171277,1.1761559255749412,True
sample_0,unnamed Alistipes sp. HGB5 [1053],1.2448038687364986,2.8619192,0.5162552277651478,0.7285486409713509,2.3456639722348522,False
sample_0,Alistipes putredinis [1054],1.7498031992117478,2.7115362,1.1151775515664444,0.6346256476453034,1.5963586484335555,False
sample_0,Porphyromonas asaccharolytica [1056],-0.6486819722867351,-0.648682,-0.6486819722867351,0.0,2.7713264905138146e-08,False
sample_0,Porphyromonas uenonis [1057],-0.3702919842201866,-0.37029198,-0.3702919842201866,0.0,4.2201865890767465e-09,False
sample_0,Prevotella buccalis [1059],-0.2169319438326026,-0.21693194,-0.2169319438326026,0.0,3.8326025963986154e-09,False
sample_0,Prevotella buccae [1065],-0.36912392028723906,-0.3691239,-0.36912392028723906,0.0,2.02872390553388e-08,False
sample_0,Prevotella dentalis [1067],-0.2913483417897359,0.1859421,-0.2913483417897359,0.0,0.4772904417897359,False
sample_0,Prevotella nigrescens [1069],-0.45379239200425886,4.1397805,-0.45379239200425886,0.0,4.593572892004259,False
sample_0,Prevotella disiens [1071],-0.30996516203461566,-0.30996516,-0.30996516203461566,0.0,2.034615642632076e-09,False
sample_0,Prevotella denticola [1072],1.573338670925839,-0.33015883,-0.33015884275392665,1.9034975136797656,1.2753926637021351e-08,True
sample_0,Prevotella multiformis [1073],0.8596311584593436,-0.3449036,-0.3449036010258239,1.2045347594851674,1.0258239258043034e-09,True
sample_0,Prevotella bivia [1076],-0.4044925134527042,-0.40449253,-0.4044925134527042,0.0,1.654729581135328e-08,False
sample_0,Prevotella copri [1081],8.121835104311147,-2.127697,-0.5419897912762697,8.663824895587418,1.5857072087237303,True
sample_0,unnamed Capnocytophaga sp. oral taxon 329 [1086],-3.0151011875490057,-3.0151012,-0.11493156482826736,2.9001696227207385,2.900169635171733,False
sample_0,Paraprevotella xylaniphila [1087],-2.1740032985542563,-2.1740034,-0.01304403391833045,2.1609592646359257,2.1609593660816695,False
sample_0,Parabacteroides distasonis [1088],-0.337843970901247,1.8157675266,0.5794701537890609,0.9173141246903078,1.236297372810939,False
sample_0,Parabacteroides merdae [1089],2.003905242599981,0.660552,1.1931892016810735,0.8107160409189076,0.5326372016810734,True
sample_0,Bacteroides fragilis [1090],-5.07247809323923,5.1196799,1.9173895671501757,6.989867660389406,3.2022903328498247,True
sample_0,Bacteroides fragilis [1091],-0.7300485146926303,0.40444991,-0.7300485146926303,0.0,1.1344984246926304,False
sample_0,Bacteroides thetaiotaomicron [1092],0.6027165739207034,2.29858,0.7924202241587552,0.1897036502380518,1.5061597758412446,False
sample_0,Bacteroides xylanisolvens [1093],1.8917497244191133,0.6917,-0.29565133988556397,2.187401064304677,0.987351339885564,True
sample_0,Bacteroides ovatus [1094],1.140518274859234,-1.433462739,0.3400708318168299,0.800447443042404,1.77353357081683,False
sample_0,Bacteroides finegoldii [1095],4.2295508059915035,5.504205,-0.37641350705305854,4.605964313044562,5.880618507053058,False
sample_0,Bacteroides caccae [1096],2.448112533551166,-2.1953504,0.5692473607390796,1.8788651728120864,2.76459776073908,False
sample_0,Bacteroides eggerthii [1097],-1.6345000948367405,0.6464634,-0.5258339080033629,1.1086661868333776,1.172297308003363,False
sample_0,Bacteroides stercoris [1098],-4.335755520238112,-3.8155296,-1.1459124234609455,3.1898430967771665,2.6696171765390546,True
sample_0,Bacteroides clarus [1099],-1.1616008633808956,-2.7111905,-1.4948894732854205,0.3332886099045249,1.2163010267145793,False
sample_0,Bacteroides uniformis [1100],-0.08281971675652154,2.842068434,0.39656789521258773,0.4793876119691093,2.4455005387874125,False
sample_0,Bacteroides fluxus [1101],-0.1013452984440958,0.999425,-0.011984150783984392,0.08936114766011141,1.0114091507839844,False
sample_0,Bacteroides intestinalis [1103],0.27259764307420337,4.2386112,1.3456176387816647,1.0730199957074613,2.8929935612183355,False
sample_0,Bacteroides dorei/vulgatus [1104],0.24956433858370516,0.828336656,0.15009096645359365,0.09947337213011151,0.6782456895464063,False
sample_0,Bacteroides plebeius [1105],0.14634321433070657,-3.4538696,-0.24272454724358794,0.3890677615742945,3.211145052756412,False
sample_0,Bacteroides coprophilus [1106],0.18322766762739023,-1.3631432,-1.363143237517383,1.5463709051447734,3.7517382978080605e-08,True
