sample,distance_original_to_healthy_median,distance_cf_to_healthy_median,improved
sample_0,30.446626574981902,32.39427947046086,False
sample_1,34.383386178756794,32.39427947046086,True
sample_2,35.71809194507748,32.0579533332087,True
sample_3,36.75794633221268,35.68233233672778,True
sample_4,34.925453859212375,30.325788726543127,True
sample_5,40.81619410068964,35.56202053239627,True
sample_6,45.967364851666055,39.92664509559008,True
sample_7,37.214254262517365,31.147660532106617,True
sample_8,33.585863634882394,31.147660532106617,True
sample_9,34.568841126746115,35.56202053239627,False
